Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
9139,12688,142,8304,1271,15302,5307,97
16598,12689,10569,8270,10,15386,1024,5547
6099,12690,8552,5,206,16136,173,8066
5461,12691,8542,1,383,16619,1721,6312
6447,12692,10569,156,309,16620,2443,3717
6935,34,7190,111,314,16659,7779,5547
436,1456,10577,21,10,16710,1002,5252
15589,1612,8545,24,26,16714,5198,7180
5811,1614,8854,78,242,16971,4126,6891
8961,16582,8127,72,9846,17078,10102,7408
944,4,3106,177,60,17380,2245,197
4754,3,10584,15,9126,17406,4030,1548
3737,2,28,20,7715,17791,15991,3718
582,1,10301,312,349,17929,11448,7387
3307,12690,10591,8244,716,17931,9597,6875
2850,4,7234,7,199,18135,9992,5544
3736,6,1565,5,146,18206,12845,6890
4228,11,2758,10,9270,18210,5350,1416
1,14565,10596,13,58,18212,1701,6582
2506,7,6892,2,33,18213,13942,8018
1024,6,10554,11,9652,18214,3757,2895
1867,5,10603,5348,8501,18215,13146,2212
5217,4,2220,65,193,18216,2486,6814
6754,3,1852,76,125,18323,2323,726
151,2,4644,74,9358,18371,15206,4447
2354,41,3978,93,190,18549,14136,1414
695,19,2930,96,9074,18561,16923,6580
17144,1415,2713,120,9687,18705,17232,5732
9588,1416,5710,221,1,18706,13307,4630
13113,16725,5765,44,23,18707,2869,4631
4139,42,267,237,100,18708,16371,1859
2510,43,168,14,701,18709,9942,3493
7512,37,151,182,289,19334,996,3503
1204,7,829,357,811,19601,13230,3494
2715,1384,5707,253,7915,19602,5054,5447
826,41,5994,18,833,19603,5224,5064
13132,40,1832,365,300,19606,3922,7964
825,38,597,8,166,19608,4758,81
6497,45,55,1319,22,19609,15682,1
2648,39,5861,252,288,19610,6747,8133
1677,680,6650,203,7132,19611,4392,7708
3432,687,5712,1317,658,19714,8542,2901
1408,37,5863,456,2849,19715,5945,7879
1191,1054,6002,20,4018,20081,5197,7477
1,48,2856,19,4000,20082,15087,1365
4257,5,6657,24,3999,20122,5832,6429
6848,1577,5739,230,2946,20366,6356,11
7581,6194,5745,1325,2945,20431,5334,228
255,6236,5747,142,3983,20432,4787,5160
3755,7690,3394,760,782,20454,20331,6908
5816,9885,4845,350,7813,20615,10361,6909
1605,49,4087,220,798,20672,6679,5856
3591,50,882,704,8062,20675,12898,5066
3245,44,6613,213,794,20754,15038,6534
4455,6389,6663,11,796,20755,7227,8009
265,1,5752,258,797,20756,9443,46
5801,1,5758,759,2886,20757,15650,7562
1991,1063,5762,1280,837,20802,123,8122
2383,3,6669,255,704,20840,1297,8017
1237,2,3493,1326,75,20842,18259,6470
5474,1,2851,1071,900,20844,429,7819
