Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
2,615,54,85,3,608,275,12
3,2,23,2,1,609,288,41
3,5,32,1,235,610,180,49
60,6,56,1,1,349,69,29
1,7,60,121,2,352,407,42
1,1,9,3,234,602,326,8
2,1,63,4,3,606,15,10
2,2,66,11,6,313,236,9
1,5,68,2,7,333,116,8
61,750,50,180,38,559,474,70
1,4,53,152,12,561,524,7
2,5,57,162,5,326,66,13
2,6,45,4,7,327,197,31
3,15,23,6,115,328,503,38
1,932,55,6,7,546,152,52
2,5,58,5,8,100,384,22
2,1,58,192,23,496,585,49
3,3,59,2,27,497,364,9
2,3,54,171,7,541,397,42
1,4,60,1,24,415,350,8
4,3,61,1,28,420,464,47
1,1,71,2,45,421,801,38
1,3,31,1,190,442,82,39
2,1,23,25,17,302,26,39
3,1,17,1,21,392,519,79
3,1,66,1,2,439,309,65
57,1,45,503,3,440,693,31
58,1,41,1,2,393,615,8
59,2,47,181,3,410,63,10
60,3,11,4,4,435,314,46
1,2,9,1,5,438,8,47
1,2,23,7,6,385,155,40
2,3,35,4,19,400,560,62
2,2,34,3,5,402,361,90
65,1,60,2,25,403,519,55
64,1,43,35,27,277,862,15
1,1,45,2,28,342,756,14
758,1,65,3,7,382,164,58
6,2,11,1,1,400,152,11
7,3,45,5,2,254,322,69
55,5,23,7,2,278,877,67
55,6,65,2,14,282,400,66
56,906,18,3,1,283,865,34
401,4,21,2,15,234,528,54
2,1,21,469,1,235,513,12
3,5,28,5,64,258,342,27
4,6,14,2,2,272,245,37
3,5,32,1,3,209,15,47
415,5,95,29,12,239,712,25
1,5,22,1,2,241,245,30
2,5,2,1,1,256,387,2
3,5,72,239,2,218,732,37
4,1,14,3,2,221,28,50
5,1,74,1,1,225,403,39
6,5,51,1,11,236,254,87
6,1,58,1,1,129,662,38
52,5,28,1,2,210,814,21
53,5,55,1,2,211,247,12
1,2,57,2,3,219,22,14
440,1,47,2,6,120,27,23
441,1,1,11,1,159,94,2
49,1,2,1,2,161,931,2
53,1,2,4,2,196,352,1
69,1,1,15,3,116,36,1
1,2,2,3,4,117,579,1
2,3,2,1,2,125,51,2
3,3,1,2,3,185,91,1
469,4,1,1,1,148,120,2
2,467,8,1,1,157,978,3
47,5,10,2,1,174,692,6
68,5,4,7,2,176,263,9
2,5,11,1,3,100,734,4
3,5,6,2,3,110,323,6
4,1,6,4,39,171,53,1
5,5,2,1,37,172,904,1
4,5,8,4,36,46,360,2
515,5,14,1,35,47,250,11
641,5,7,1,1,61,680,6
1,5,1,3,1,149,791,3
62,4,2,33,2,60,217,2
1,8,7,2,2,144,391,3
509,9,64,3,1,146,259,39
56,845,4,1,7,147,78,13
1,452,32,4,5,30,882,60
2,5,34,2,6,44,39,30
122,1,43,3,66,46,794,26
1,1,47,2,68,78,56,51
2,2,33,1,66,94,594,17
2,3,38,9,194,128,525,48
3,413,40,3,67,134,155,18
1,4,10,1,215,140,364,1
1,1,46,1,12,126,485,69
2,2,51,2,3,130,299,34
2,3,46,1,2,131,939,8
75,4,48,9,3,132,592,27
523,5,54,2,4,65,221,16
1,860,53,1,50,73,685,72
2,5,36,1,3,122,45,89
2,1,56,24,14,125,719,26
